排名,股票代码,股票名称,持股股东数量,最高涨幅股东,10日平均涨幅,30日平均涨幅,60日平均涨幅
37,301319,唯特偶,5,于泽兵,0.30777732,0.38872772,0.38872772
38,603636,南威软件,5,龚强,0.30803571,0.30803571,0.30803571
39,301389,隆扬电子,5,胡美囡,0.31636482,0.31636482,0.31636482
40,688159,有方科技,5,方国飞,0.40612628,0.40612628,0.40612628
41,688069,德林海,5,胡明明,0.53048276,0.53048276,0.53048276
42,301387,光大同创,5,蒋凌辉,0.43588902,0.41372517,0.41372517
43,301115,联检科技,5,周剑峰,0.37312661,0.37312661,0.37312661
44,301171,易点天下,5,王向阳,0.34099379,0.34099379,0.34099379
45,301373,凌玮科技,5,胡湘仲,0.32299025,0.33953322,0.33953322
46,301502,华阳智能,5,许燕飞,0.46259925,0.46259925,0.46259925
47,920699,海达尔,5,陈思思,0.70908184,0.70908184,0.70908184
48,002903,宇环数控,5,许世雄,0.32532751,0.32532751,0.32532751
49,300257,开山股份,5,周永祥,0.30010208,0.30010208,0.30010208
50,920425,乐创技术,5,孔慧勇,0.41640867,0.41640867,0.41640867
51,920181,赛英电子,5,陈蓓璐,0.41779944,0.41779944,0.41779944
52,920111,聚星科技,5,徐静峰,0.29057799,0.39548694,0.39548694
53,002757,南兴股份,5,陈兆伦,0.37361173,0.43225233,0.43225233
54,002918,蒙娜丽莎,5,萧华,0.35087719,0.35087719,0.35087719
55,603063,禾望电气,5,盛小军,0.27447392,0.88655078,0.88655078
56,688300,联瑞新材,4,刘春昱,0.51350387,0.51350387,0.51350387
57,603688,石英股份,4,邵静,0.3875,0.44299242,0.44299242
58,688282,理工导航,4,高志峰,0.30190869,0.30190869,0.30190869
59,301369,联动科技,4,袁桂慧,0.4749926,0.4749926,0.4749926
60,002491,通鼎互联,4,沈小平,0.7056962,0.7056962,0.7056962
61,300536,农尚环境,4,张亚洲,0.43589744,0.43589744,0.43589744
62,002397,梦洁股份,4,姜天武,0.33949192,0.30715935,0.30715935
63,603931,格林达,4,秦晓莉,0.41671985,0.44033184,0.44033184
64,603895,天永智能,4,魏延军,0.33943018,0.33943018,0.33943018
65,603738,泰晶科技,4,喻信东,0.4091858,0.4091858,0.4091858
66,600330,天通股份,4,潘建忠,0.32740348,0.32740348,0.32740348
67,688625,呈和科技,4,崔皓,0.31849315,0.31849315,0.31849315
68,920125,鸿仕达,4,郭剑波,1.09436494,1.09436494,1.09436494
69,002208,合肥城建,4,雷剑,0.40734949,0.40734949,0.40734949
70,688381,帝奥微,4,罗杰骅,0.18649635,0.31094891,0.31094891
71,001259,利仁科技,4,齐连英,0.54320988,0.54320988,0.54320988
72,600719,大连热电,4,骆申涛,0.43902439,0.46747967,0.46747967
73,600769,祥龙电业,4,刘玉贤,0.36345776,0.44073346,0.44073346
74,603269,海鸥股份,4,张中协,0.43049933,0.43049933,0.43049933
75,001211,双枪科技,4,郑承烈,0.31775,0.31775,0.31775
76,603936,博敏电子,4,谢建中,0.43114543,0.43114543,0.43114543
77,688416,恒烁股份,4,孟祥薇,0.30975866,0.32843652,0.32843652
78,301235,华康洁净,4,李洪泉,0.24092409,0.31023102,0.31023102
79,688017,绿的谐波,4,李谦,0.3299308,0.37238063,0.37238063
80,300316,晶盛机电,4,邱敏秀,0.34036743,0.34036743,0.34036743
81,300959,线上线下,4,肖诗强,0.40831579,0.40831579,0.40831579
82,300209,行云科技,4,王维,0.501468,0.501468,0.501468
83,688508,芯朋微,4,薛伟明,0.26412536,0.36281452,0.36281452
84,003036,泰坦股份,4,梁行先,0.2956237,0.30991366,0.30991366
85,300905,宝丽迪,4,杨军辉,0.36257833,0.36257833,0.36257833
86,002929,润建股份,4,梁姬,0.4708445,0.4708445,0.4708445
87,300780,德恩精工,4,谢龙德,0.34862779,0.35763293,0.35763293
88,688260,昀冢科技,4,王宾,0.4442248,0.4442248,0.4442248
89,300835,龙磁科技,4,张剑兴,0.3263792,0.3263792,0.3263792
90,603950,长源东谷,4,李佐元,0.38059299,0.38059299,0.38059299
91,301196,唯科科技,4,张侃,0.49756314,0.49756314,0.49756314
92,688515,裕太微,4,唐晓峰,0.65808682,0.65808682,0.65808682
93,603278,大业股份,3,窦勇,0.36517857,0.36517857,0.36517857
94,920438,戈碧迦,3,虞顺积,0.74905571,0.74905571,0.74905571
95,688184,ST帕瓦,3,张宝,0.37598425,0.35728346,0.35728346
